model,dataset,target,horizon,store,product,lookback,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0001,14,34.244736,0.8273809,38.29739761352539,0.4649305045604706
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0002,14,30.72513,0.6871203,35.80968475341797,0.4448607861995697
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0003,14,35.717297,0.7400679,49.69287109375,0.5468297600746155
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0004,14,40.645756,0.79897827,36.7254638671875,0.7008833289146423
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0005,14,35.956512,0.7096465,43.047672271728516,0.4665999114513397
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0006,14,46.959663,0.72858655,42.52477264404297,0.8995230793952942
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0007,14,41.916573,0.80052227,51.78280258178711,0.6207314729690552
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0008,14,34.5402,0.7590966,32.0240478515625,0.4573851227760315
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0009,14,32.233925,0.870958,44.69447326660156,0.4199431240558624
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0010,14,34.312363,0.7149665,28.40749740600586,0.43917807936668396
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0011,14,39.351685,0.80395085,32.38571548461914,0.5259947776794434
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0012,14,38.593758,0.7499355,44.3166389465332,0.54047691822052
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0013,14,42.664894,0.80257106,36.28893280029297,0.6355159282684326
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0014,14,39.150204,0.76094544,44.19306182861328,0.5749306678771973
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0015,14,40.342804,0.796139,35.08772277832031,0.6030359864234924
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0016,14,37.519775,0.6255918,45.83454895019531,0.7072034478187561
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0017,14,43.149117,0.7927648,34.682762145996094,0.6780610680580139
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0018,14,33.557125,0.7979194,39.50733947753906,0.4375057518482208
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0019,14,39.771023,0.8765131,30.013822555541992,0.5586540102958679
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0020,14,44.119556,0.7880335,31.776084899902344,0.6135273575782776
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0001,14,40.654373,0.7755498,49.643009185791016,0.5553091168403625
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0002,14,46.1102,0.79861575,42.28286361694336,0.637340247631073
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0003,14,40.464462,0.75197446,44.043548583984375,0.6449190974235535
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0004,14,33.40005,0.6792291,40.61698532104492,0.4249885678291321
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0005,14,38.897602,0.8045389,39.76657485961914,0.5153017044067383
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0006,14,31.120365,0.81425226,34.90822219848633,0.4323580861091614
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0007,14,50.22937,0.9287566,45.31753158569336,0.7477377653121948
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0008,14,29.664093,0.6548493,34.99519348144531,0.43240463733673096
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0009,14,38.553543,0.8102121,48.33049011230469,0.6735800504684448
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0010,14,28.5643,0.72571445,34.13206100463867,0.3468337953090668
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0011,14,42.04991,0.74470216,48.61524963378906,0.8806056976318359
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0012,14,32.74216,0.65012306,34.40355682373047,0.4610159993171692
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0013,14,41.278065,0.6755325,45.84314727783203,0.6877284049987793
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0014,14,45.190395,0.8687748,41.68620681762695,0.8077638745307922
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0015,14,36.050232,0.75030494,44.13112258911133,0.7984097003936768
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0016,14,35.992092,0.79696935,41.96860885620117,0.6438606977462769
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0017,14,52.384502,0.8594112,45.274723052978516,0.8570064306259155
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0018,14,30.631315,0.784382,31.69451904296875,0.43305543065071106
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0019,14,33.62613,0.7064417,39.62074661254883,0.6627546548843384
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0020,14,41.919613,0.8572381,32.44491958618164,0.5337371230125427
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0001,14,50.570168,0.87791824,44.36332321166992,0.9546117782592773
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0002,14,40.735855,0.7389824,47.21794509887695,0.7385714650154114
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0003,14,32.7542,0.766463,33.8422966003418,0.47657278180122375
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0004,14,40.659744,0.82346046,51.88711929321289,0.7260349988937378
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0005,14,51.769333,0.87482333,47.35514450073242,0.8744835257530212
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0006,14,40.199738,0.8086168,35.811485290527344,0.6216724514961243
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0007,14,34.04728,0.67730844,42.871192932128906,0.4947466254234314
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0008,14,31.756302,0.7660126,40.363502502441406,0.37665310502052307
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0009,14,35.358192,0.8530827,39.24184036254883,0.45861732959747314
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0010,14,32.67049,0.71598536,36.06735610961914,0.5370922088623047
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0011,14,40.14567,0.759671,41.55177688598633,0.9503129720687866
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0012,14,42.00191,0.84488434,33.2883415222168,0.6688132286071777
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0013,14,39.245773,0.6854811,44.330169677734375,0.8712111115455627
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0014,14,35.943283,0.8056142,45.995052337646484,0.4463077187538147
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0015,14,39.649414,0.7137977,44.951263427734375,0.8045822381973267
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0016,14,34.717754,0.66880304,41.207210540771484,0.472391813993454
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0017,14,44.555283,0.86500806,32.15077590942383,0.6937693357467651
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0018,14,40.130814,0.83244956,31.084857940673828,0.5489659309387207
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0019,14,25.995047,0.60665566,29.686626434326172,0.3686504662036896
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S003,P0020,14,31.337885,0.75663716,46.417572021484375,0.4049091339111328
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0001,14,38.150787,0.74174535,46.86579895019531,0.7945014238357544
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0002,14,42.136303,0.7200091,45.421756744384766,0.7808352708816528
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0003,14,42.57359,0.9239317,39.21623611450195,0.5897335410118103
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0004,14,40.529594,0.794219,50.641517639160156,0.7566794753074646
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0005,14,32.103916,0.79483247,35.07481384277344,0.4338749647140503
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0006,14,38.045242,0.6892409,44.55934143066406,0.5496474504470825
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0007,14,41.19279,0.8299985,50.40808868408203,0.7381728291511536
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0008,14,39.67411,0.8848646,28.30596923828125,0.5415163040161133
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0009,14,37.415737,0.7564379,43.116355895996094,0.8250551819801331
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0010,14,39.605297,0.74487495,47.513153076171875,0.6142884492874146
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0011,14,38.940575,0.8345278,51.35054016113281,0.5288267135620117
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0012,14,34.16524,0.9156318,35.35348892211914,0.4215407967567444
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0013,14,41.660656,0.75567335,50.214298248291016,0.7045720815658569
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0014,14,42.639797,0.8290616,34.4942512512207,0.5906903147697449
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0015,14,43.033802,0.83018225,32.98575973510742,0.5736261010169983
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0016,14,39.660603,0.7394929,30.679933547973633,0.7002672553062439
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0017,14,28.060156,0.69061136,33.20751953125,0.4073037803173065
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0018,14,36.85768,0.7762121,25.2114200592041,0.5131297707557678
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0019,14,28.67054,0.7255693,35.3492431640625,0.42033764719963074
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S004,P0020,14,43.782173,0.8304589,32.36338806152344,0.7408189177513123
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0001,14,38.753014,0.72033346,44.98869323730469,0.7651433944702148
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0002,14,34.767433,0.7355073,37.198970794677734,0.4467122256755829
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0003,14,43.029778,0.80999863,37.41460037231445,0.6566820740699768
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0004,14,34.847744,0.8213489,41.59767532348633,0.4821373522281647
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0005,14,35.838615,0.70913225,42.30189895629883,0.8280460238456726
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0006,14,35.391464,0.6864789,47.625732421875,0.6794121861457825
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0007,14,37.18679,0.7356088,45.7745475769043,0.5291744470596313
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0008,14,30.38383,0.69617474,33.54391860961914,0.39697131514549255
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0009,14,38.625286,0.77438813,46.26853942871094,0.8255451321601868
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0010,14,39.08758,0.74309236,47.86897277832031,0.5247220993041992
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0011,14,42.506985,0.8967873,43.66039276123047,0.770443320274353
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0012,14,39.516113,0.86242133,34.46786117553711,0.5737380385398865
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0013,14,41.435303,0.7476622,48.189125061035156,0.7095782160758972
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0014,14,37.66493,0.74469036,30.89745330810547,0.6626386642456055
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0015,14,38.217773,0.7454413,43.48029708862305,0.7060914039611816
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0016,14,51.946957,0.8581644,45.11553192138672,0.9109649062156677
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0017,14,45.633205,0.8394673,39.219242095947266,0.6972057819366455
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0018,14,29.567036,0.6898543,35.2547492980957,0.37876948714256287
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0019,14,40.74875,0.8165981,30.06263542175293,0.5224889516830444
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S005,P0020,14,41.661125,0.81181484,34.604251861572266,0.6253759264945984
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0001,14,36.459175,0.8802796,39.73098373413086,0.4895803928375244
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0002,14,29.076326,0.6441201,34.24418640136719,0.432617723941803
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0003,14,33.496273,0.6746429,45.728759765625,0.5406540036201477
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0004,14,44.119408,0.8820033,39.26850891113281,0.7516731023788452
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0005,14,35.94094,0.7118564,41.842403411865234,0.45560258626937866
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0006,14,47.763027,0.7560211,44.897090911865234,0.9558627605438232
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0007,14,43.92181,0.8373083,53.922386169433594,0.6486901044845581
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0008,14,33.156822,0.7323989,31.291046142578125,0.45161768794059753
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0009,14,32.594753,0.8733817,45.66435241699219,0.427053838968277
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0010,14,34.668266,0.7363226,29.5859432220459,0.4702155292034149
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0011,14,38.65142,0.78436303,32.31076431274414,0.5301375985145569
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0012,14,37.154293,0.7181795,43.174766540527344,0.5518602132797241
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0013,14,45.494453,0.86624825,38.713932037353516,0.6911262273788452
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0014,14,39.888824,0.77910596,45.58488845825195,0.6045479774475098
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0015,14,40.848984,0.8023426,36.267940521240234,0.6554685831069946
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0016,14,38.83816,0.6401474,45.96513366699219,0.7277383804321289
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0017,14,44.826897,0.8449343,36.38920593261719,0.7519342303276062
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0018,14,33.043663,0.7622591,37.58198165893555,0.44721415638923645
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0019,14,41.863735,0.8947524,30.07105255126953,0.587548553943634
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S001,P0020,14,46.29735,0.8290183,33.44705581665039,0.6516029238700867
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0001,14,41.654865,0.79463303,50.46580505371094,0.5730276107788086
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0002,14,45.534985,0.8005639,42.60554885864258,0.6610372066497803
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0003,14,40.90288,0.75247335,43.90931701660156,0.6558085680007935
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0004,14,33.474205,0.6823975,41.199851989746094,0.43886294960975647
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0005,14,39.06212,0.78975403,39.19635772705078,0.5318241715431213
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0006,14,29.806828,0.75793517,33.6837043762207,0.42573633790016174
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0007,14,49.931423,0.9062489,43.827884674072266,0.7543131709098816
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0008,14,31.416517,0.68464935,35.88643264770508,0.4481172263622284
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0009,14,35.566277,0.7397754,41.85803985595703,0.4686412215232849
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0010,14,29.199451,0.7424042,34.20622253417969,0.3516371548175812
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0011,14,41.907066,0.74134135,48.36964416503906,0.9037617444992065
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0012,14,35.753483,0.7121795,36.91451644897461,0.5027755498886108
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0013,14,42.178066,0.68878496,46.99940490722656,0.7155429124832153
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0014,14,46.83936,0.91022414,43.17591857910156,0.841981828212738
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0015,14,35.57885,0.72395784,43.20331954956055,0.8253493309020996
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0016,14,35.22919,0.77581584,41.24610137939453,0.6510645151138306
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0017,14,53.477818,0.8880945,47.46200180053711,0.9197407364845276
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0018,14,30.63131,0.76977664,30.871923446655273,0.42956143617630005
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0019,14,34.673443,0.71608377,39.74672317504883,0.6742427945137024
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S002,P0020,14,43.41265,0.8726706,32.550682067871094,0.554793119430542
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0001,14,52.02783,0.916519,45.733524322509766,0.9956057071685791
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0002,14,42.011185,0.76001036,47.87898635864258,0.7595238089561462
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0003,14,34.575573,0.8112359,36.13201904296875,0.516574501991272
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0004,14,41.136982,0.84626913,52.64945983886719,0.7670237421989441
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0005,14,51.77042,0.88031447,47.9937629699707,0.9025588631629944
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0006,14,42.355606,0.85671556,37.49350357055664,0.6747725605964661
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0007,14,34.528603,0.697764,44.9630241394043,0.5167965292930603
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0008,14,31.08154,0.73629504,38.813232421875,0.37105169892311096
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0009,14,33.94752,0.81288344,37.73583221435547,0.4506990909576416
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,14,S003,P0010,14,32.307972,0.7216132,35.80112838745117,0.5191952586174011
